"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.977491961414791,0.755627009646302,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_2","Extraversion",1.18327974276527,0.704180064308682,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_3","Extraversion",1.76848874598071,0.557877813504823,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_4","Extraversion",1.18327974276527,0.704180064308682,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_5","Extraversion",1.19292604501608,0.701768488745981,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_6","Extraversion",1.34405144694534,0.663987138263666,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_7","Extraversion",1.29581993569132,0.67604501607717,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_8","Extraversion",1.31511254019293,0.671221864951768,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_9","Extraversion",1.20578778135048,0.698553054662379,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_10","Extraversion",1.10289389067524,0.72427652733119,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_11","Extraversion",1.13504823151125,0.716237942122186,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion_12","Extraversion",0.868167202572347,0.782958199356913,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_1","Agreeableness",0.633440514469453,0.841639871382637,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_2","Agreeableness",0.42443729903537,0.893890675241158,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_3","Agreeableness",1.21221864951768,0.696945337620579,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_4","Agreeableness",2.54019292604502,0.364951768488746,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_5","Agreeableness",2.7427652733119,0.314308681672026,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_6","Agreeableness",1.19614147909968,0.70096463022508,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_7","Agreeableness",1.12218649517685,0.719453376205788,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_8","Agreeableness",2.36977491961415,0.407556270096463,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_9","Agreeableness",0.948553054662379,0.762861736334405,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_10","Agreeableness",3.37942122186495,0.155144694533762,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_11","Agreeableness",0.585209003215434,0.853697749196141,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness_12","Agreeableness",1.491961414791,0.627009646302251,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_1","Conscientiousness",1.42122186495177,0.644694533762058,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_2","Conscientiousness",0.903536977491961,0.77411575562701,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_3","Conscientiousness",0.643086816720257,0.839228295819936,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_4","Conscientiousness",0.713826366559486,0.821543408360129,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_5","Conscientiousness",0.893890675241158,0.776527331189711,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_6","Conscientiousness",0.958199356913183,0.760450160771704,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_7","Conscientiousness",0.92604501607717,0.768488745980707,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_8","Conscientiousness",0.807073954983923,0.798231511254019,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_9","Conscientiousness",0.948553054662379,0.762861736334405,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_10","Conscientiousness",3,0.25,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_11","Conscientiousness",1.2508038585209,0.687299035369775,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness_12","Conscientiousness",1.10932475884244,0.722668810289389,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_1","Negative_Emotionality",1.09967845659164,0.72508038585209,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_2","Negative_Emotionality",1.42443729903537,0.643890675241158,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_3","Negative_Emotionality",1.52090032154341,0.619774919614148,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_4","Negative_Emotionality",1.35691318327974,0.660771704180064,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_5","Negative_Emotionality",1.58842443729904,0.602893890675241,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_6","Negative_Emotionality",1.14147909967846,0.714630225080386,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_7","Negative_Emotionality",1.97749196141479,0.505627009646302,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_8","Negative_Emotionality",1.37942122186495,0.655144694533762,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_9","Negative_Emotionality",1.53376205787781,0.616559485530547,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_10","Negative_Emotionality",0.826366559485531,0.793408360128617,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_11","Negative_Emotionality",1.2604501607717,0.684887459807074,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality_12","Negative_Emotionality",1.43408360128617,0.641479099678457,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_1","Open_Mindedness",2.01607717041801,0.495980707395498,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_2","Open_Mindedness",0.781350482315113,0.804662379421222,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_3","Open_Mindedness",0.771704180064309,0.807073954983923,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_4","Open_Mindedness",1.04823151125402,0.737942122186495,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_5","Open_Mindedness",2.70418006430868,0.32395498392283,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_6","Open_Mindedness",2.59807073954984,0.35048231511254,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_7","Open_Mindedness",0.884244372990354,0.778938906752412,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_8","Open_Mindedness",1.02572347266881,0.743569131832797,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_9","Open_Mindedness",2.92926045016077,0.267684887459807,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_10","Open_Mindedness",2.45337620578778,0.386655948553055,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_11","Open_Mindedness",2.63344051446945,0.341639871382637,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness_12","Open_Mindedness",0.755627009646302,0.811093247588424,"llm_src_en_DeepSeek_vs_human_src_en"
